,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Tweets,Length,ID,Date,Likes,Retweets,Sentiment,Feature Words (Porter),Feature Words (Lancaster),Words
187,187,187,187,187,187,187,187,Tremendous numbers of people are coming up through Mexico in the hopes of flooding our Southern Border. We have sen… https://t.co/DzhzfDXFUp,140,1092787440560078849,2019-02-05 14:10:03,143378,32088,,"['tremend', 'number', 'peopl', 'come', 'mexico', 'hope', 'flood', 'southern', 'border', 'we', 'link']","['tremend', 'numb', 'peopl', 'com', 'mexico', 'hop', 'flood', 'southern', 'bord', 'we', 'link']",Tremendous numbers of people are coming up through Mexico in the hopes of flooding our Southern Border. We have sen… LINK
188,188,188,188,188,188,188,188,"I am pleased to announce that David Bernhardt, Acting Secretary of the Interior, will be nominated as Secretary of… https://t.co/87YTreot9H",139,1092516540262551553,2019-02-04 20:13:35,115286,20548,,"['i', 'pleas', 'announc', 'david', 'bernhardt', 'act', 'secretari', 'interior', 'nomin', 'secretari', 'link']","['i', 'pleas', 'annount', 'david', 'bernhardt', 'act', 'secret', 'intery', 'nomin', 'secret', 'link']","I am pleased to announce that David Bernhardt, Acting Secretary of the Interior, will be nominated as Secretary of… LINK"
189,189,189,189,189,189,189,189,"With Caravans marching through Mexico and toward our Country, Republicans must be prepared to do whatever is necess… https://t.co/slwIl9FzcC",140,1092181733825490945,2019-02-03 22:03:11,143732,35223,,"['with', 'caravan', 'march', 'mexico', 'toward', 'countri', 'republican', 'must', 'prepar', 'whatev', 'link']","['with', 'carav', 'march', 'mexico', 'toward', 'country', 'republ', 'must', 'prep', 'whatev', 'link']","With Caravans marching through Mexico and toward our Country, Republicans must be prepared to do whatever is necess… LINK"
190,190,190,190,190,190,190,190,"Everyone is asking how Tiger played yesterday. The answer is Great! He was long, straight &amp; putted fantastically we… https://t.co/z67NiHN99j",144,1092169520469471233,2019-02-03 21:14:39,154797,24600,,"['everyon', 'ask', 'tiger', 'play', 'yesterday', 'the', 'answer', 'great', 'he', 'long', 'straight', 'amp', 'put', 'fantast', 'link']","['everyon', 'ask', 'tig', 'play', 'yesterday', 'the', 'answ', 'gre', 'he', 'long', 'straight', 'amp', 'put', 'fantast', 'link']","Everyone is asking how Tiger played yesterday. The answer is Great! He was long, straight &amp; putted fantastically we… LINK"
191,191,191,191,191,191,191,191,I will be interviewed Sunday morning on @FaceTheNation and prior to the Super Bowl on @CBS at 3:30 P.M. Enjoy!,110,1091918458726563841,2019-02-03 04:37:02,83031,15687,,"['i', 'interview', 'sunday', 'morn', 'at_us', 'prior', 'super', 'bowl', 'at_us', 'enjoy']","['i', 'interview', 'sunday', 'morn', 'at_user', 'pri', 'sup', 'bowl', 'at_user', 'enjoy']",I will be interviewed Sunday morning on AT_USER and prior to the Super Bowl on AT_USER at 3:30 P.M. Enjoy!
192,192,192,192,192,192,192,192,"Ed Gillespie, who ran for Governor of the Great State of Virginia against Ralph Northam, must now be thinking Malpr… https://t.co/jDWGwJfyPj",140,1091864144071020544,2019-02-03 01:01:12,109721,23765,,"['ed', 'gillespi', 'ran', 'governor', 'great', 'state', 'virginia', 'ralph', 'northam', 'must', 'think', 'link']","['ed', 'gillespy', 'ran', 'govern', 'gre', 'stat', 'virgin', 'ralph', 'northam', 'must', 'think', 'link']","Ed Gillespie, who ran for Governor of the Great State of Virginia against Ralph Northam, must now be thinking Malpr… LINK"
193,193,193,193,193,193,193,193,"Democrat Governor Ralph Northam of Virginia just stated, “I believe that I am not either of the people in that phot… https://t.co/yCiJ5hU12J",140,1091858686371344384,2019-02-03 00:39:31,154349,34847,,"['democrat', 'governor', 'ralph', 'northam', 'virginia', 'state', 'i', 'believ', 'i', 'either', 'peopl', 'link']","['democr', 'govern', 'ralph', 'northam', 'virgin', 'stat', 'i', 'believ', 'i', 'eith', 'peopl', 'link']","Democrat Governor Ralph Northam of Virginia just stated, “I believe that I am not either of the people in that phot… LINK"
194,194,194,194,194,194,194,194,"Great morning at Trump National Golf Club in Jupiter, Florida with @JackNicklaus and @TigerWoods! https://t.co/mdPN4yvS8e",121,1091760712756744192,2019-02-02 18:10:12,137506,23535,,"['great', 'morn', 'trump', 'nation', 'golf', 'club', 'jupit', 'florida', 'at_us', 'at_us', 'link']","['gre', 'morn', 'trump', 'nat', 'golf', 'club', 'jupit', 'florid', 'at_user', 'at_user', 'link']","Great morning at Trump National Golf Club in Jupiter, Florida with AT_USER and AT_USER LINK"
195,195,195,195,195,195,195,195,National African American History Month is an occasion to rediscover the enduring stories of African Americans and… https://t.co/jY3lrk4byb,139,1091427927475085312,2019-02-01 20:07:50,94696,20684,,"['nation', 'african', 'american', 'histori', 'month', 'occas', 'rediscov', 'endur', 'stori', 'african', 'american', 'link']","['nat', 'afr', 'am', 'hist', 'mon', 'occas', 'rediscov', 'end', 'story', 'afr', 'am', 'link']",National African American History Month is an occasion to rediscover the enduring stories of African Americans and… LINK
196,196,196,196,196,196,196,196,Thank you to Senator Rob Portman and Senator Cory Gardner for the early and warm endorsement. We will ALL WIN in 2020 together!,127,1091417236475179008,2019-02-01 19:25:21,117228,22491,,"['thank', 'senat', 'rob', 'portman', 'senat', 'cori', 'gardner', 'earli', 'warm', 'endors', 'we', 'all', 'win', 'togeth']","['thank', 'sen', 'rob', 'portm', 'sen', 'cory', 'gardn', 'ear', 'warm', 'endors', 'we', 'al', 'win', 'togeth']",Thank you to Senator Rob Portman and Senator Cory Gardner for the early and warm endorsement. We will ALL WIN in 2020 together!
